"Issue Type","Summary","Epic Link","Description","Acceptance Criteria","Tasks","Story Points","Priority","Labels","Sprint","Status"
"Epic","E1 Project Foundation & Tooling","","Reproducible monorepo and fast dev loop.","","","","High","epic foundation","","In Progress"
"Epic","E2 Audio Capture & Streaming","","Capture mic + system loopback and stream clean PCM to main.","","","","High","epic audio","","In Progress"
"Epic","E3 Real-Time Transcription","","Accurate, attributed, low-latency transcripts via Azure Speech.","","","","High","epic speech","","In Progress"
"Epic","E4 Conversation Memory & CRM Note","","Living markdown note compiled from the conversation via Azure OpenAI.","","","","High","epic memory","","In Progress"
"Epic","E5 Real-Time Sales Tactics","","Timely next-move suggestions during the call.","","","","High","epic tactics","","In Progress"
"Epic","E6 Floating Widget UI/UX","","Always-on-top, glanceable, unobtrusive overlay.","","","","High","epic ui","","In Progress"
"Epic","E7 Intent Detection & Work IQ Grounding","","Detect high-value customer questions and route to a knowledge backend.","","","","High","epic workiq","","In Progress"
"Epic","E8 Knowledge Base & RAG Pipeline","","Replace the mock with real RAG answers grounded in documents (Azure AI Search).","","","","High","epic rag azure-search","","To Do"
"Epic","E9 Observability & Dev Inspector","","See inside the pipeline to debug and demo confidently.","","","","Medium","epic observability","","In Progress"
"Epic","E10 Security, Config & Secrets","","Keep keys safe and the app well-behaved.","","","","High","epic security","","To Do"
"Epic","E11 Packaging, Demo Readiness & Documentation","","Repeatable, reliable demo and clean handoff.","","","","Medium","epic demo","","To Do"
"Story","US-1.1 Monorepo scaffold","E1 Project Foundation & Tooling","npm-workspaces monorepo so code is shared and built consistently.","npm install bootstraps all workspaces; apps/* and packages/* resolve via workspace links","Root package.json workspaces; folder structure; gitignore; baseline README","3","High","foundation must","Sprint 1","Done"
"Story","US-1.2 Shared types package","E1 Project Foundation & Tooling","@workiq/types with shared interfaces + IPC constants so main and renderer never drift.","Both apps import the package; bundlers inline it; type change errors on both sides","Define TranscriptSegment, WorkIqResponse, IPC map; configure tsup noExternal","2","High","foundation must","Sprint 1","Done"
"Story","US-1.3 Shared TS config","E1 Project Foundation & Tooling","Strict shared tsconfig.base.json so all packages share compiler rules.","strict true; moduleResolution Bundler; packages extend the base","Create @workiq/config; wire extends in each tsconfig","1","Medium","foundation should","Sprint 1","Done"
"Story","US-1.4 Electron main + preload build","E1 Project Foundation & Tooling","tsup compiles main + preload to CJS so Electron loads them reliably.","dist/main.js and dist/preload.js produced; preload exposes a typed minimal API","tsup.config.ts; preload contextBridge surface; main entry","3","High","foundation must","Sprint 1","Done"
"Story","US-1.5 Widget app (Vite/React/Tailwind)","E1 Project Foundation & Tooling","Vite/React/Tailwind renderer on 5173 so UI iterates with HMR.","dev:widget serves on 127.0.0.1:5173; Tailwind utilities apply","Vite config host 127.0.0.1; Tailwind v3 setup; base App.tsx","3","High","foundation must","Sprint 1","Done"
"Story","US-1.6 Dev orchestration","E1 Project Foundation & Tooling","One command runs widget + Electron together so the loop is one step.","npm run dev starts Vite, waits for 5173, builds, launches Electron; VS Code tasks mirror this","concurrently + wait-on; .vscode tasks Install/Dev/Stop","2","High","foundation must","Sprint 1","Done"
"Story","US-1.7 Quality gates & CI","E1 Project Foundation & Tooling","Lint/format/typecheck and a CI check so regressions are caught early.","typecheck and build run in CI on PRs; formatting enforced","ESLint + Prettier; typecheck script; GitHub Actions workflow","3","Medium","foundation should","Sprint 1","To Do"
"Story","US-2.1 Microphone capture","E2 Audio Capture & Streaming","Capture the rep mic on Start so their speech is transcribed.","getUserMedia on user gesture; capture stops cleanly; permission denial handled","useAudioCapture mic branch; Start/Stop wiring; error toast","3","High","audio must","Sprint 1","Done"
"Story","US-2.2 System loopback capture","E2 Audio Capture & Streaming","Capture the remote participant audio so the customer is transcribed.","getDisplayMedia audio loopback without picker; main grants via setDisplayMediaRequestHandler","Main permission handler; renderer loopback stream; fallback if unavailable","5","High","audio must","Sprint 1","Done"
"Story","US-2.3 PCM downsample worklet","E2 Audio Capture & Streaming","AudioWorklet emits 16kHz/16-bit/mono PCM in 100ms batches for Azure Speech.","AudioContext 16000 -> worklet emits Int16 batches; both sources use it","public/pcm-worklet.js; Float32 to Int16; batching","5","High","audio must","Sprint 1","Done"
"Story","US-2.4 Stream PCM to main","E2 Audio Capture & Streaming","Send audio chunks over IPC to main so transcription runs out of the renderer.","window.workiq.sendChunk -> audio:chunk IPC; payload tags source","Preload callback; IPC channel; AudioChunkPayload type; main router","3","High","audio must","Sprint 1","Done"
"Story","US-2.5 Capture controls & permission UX","E2 Audio Capture & Streaming","Clear Start/Stop and permission feedback so the rep knows it is listening.","Button reflects state; denied permissions show actionable guidance","Start/Stop component; state machine; denied-permission help text","2","Medium","audio should","Sprint 2","To Do"
"Story","US-3.1 Speech resource & config","E3 Real-Time Transcription","Azure Speech provisioned and configured via env so STT works.","AZURE_SPEECH_KEY/REGION read by main only; S0 tier supports 2 concurrent streams","Provision speech-workiq (eastus S0); .env keys; config loader","2","High","speech must","Sprint 1","Done"
"Story","US-3.2 Continuous source recognizer","E3 Real-Time Transcription","One continuous SpeechRecognizer per source so each stream transcribes independently.","Push-stream feeds PCM; interim + final events emitted; cancellation logged","SourceRecognizer; push-stream wiring; lifecycle close","5","High","speech must","Sprint 1","Done"
"Story","US-3.3 Source-based attribution","E3 Real-Time Transcription","Label rep vs customer by audio source so the transcript is readable.","mic -> Speaker_1 Sales Rep; system -> Speaker_2 Customer; deterministic","Map source to speaker; label propagation to UI","3","High","speech must","Sprint 1","Done"
"Story","US-3.4 Interim + final streaming","E3 Real-Time Transcription","Show words as spoken so it feels live.","Interim segments render greyed; finals solidify; throttled for readability","transcript:segment channel; live-feed render; interim styling","3","Medium","speech should","Sprint 2","Done"
"Story","US-3.5 Graceful degradation","E3 Real-Time Transcription","App runs if Speech is not configured so the UI still demos.","Missing key -> warning + transcription disabled; no crash","isSpeechConfigured; guarded start; warning surface","2","High","speech must","Sprint 2","Done"
"Story","US-4.1 Rolling buffer flush","E4 Conversation Memory & CRM Note","Buffer flushes at a word threshold on a pause so compilation happens at sensible moments.","Finals accumulate; flush at >150 words and not already compiling","RollingBuffer add/wordCount/flush; flush guard","3","High","memory must","Sprint 2","Done"
"Story","US-4.2 Memory compiler (OpenAI)","E4 Conversation Memory & CRM Note","Merge/update the note from new transcript blocks so it stays current.","gpt-4.1-mini merges existing note + new block -> full markdown; failures do not crash","MemoryCompiler.compile; AzureOpenAI client; MEMORY_SYSTEM prompt","5","High","memory must openai","Sprint 2","Done"
"Story","US-4.3 Memory render in UI","E4 Conversation Memory & CRM Note","Show the note as formatted markdown so the rep can glance at key facts.","memory:update pushes markdown; rendered with react-markdown; no flicker","Memory panel; markdown renderer; updatedAt indicator","3","Medium","memory should","Sprint 2","Done"
"Story","US-4.4 CRM-note prompt engineering","E4 Conversation Memory & CRM Note","Structure the note (needs, objections, next steps) so it is useful post-call.","Prompt yields consistent sections; resists hallucinating facts not in transcript","Iterate MEMORY_SYSTEM; few-shot; eval on 3 sample transcripts","3","Medium","memory should openai","Sprint 2","To Do"
"Story","US-4.5 Degrade without OpenAI","E4 Conversation Memory & CRM Note","Memory no-ops without OpenAI config so the UI still runs.","isOpenAiConfigured false -> returns note unchanged; warning logged","Guard in compiler; warning surface","1","High","memory must","Sprint 2","Done"
"Story","US-5.1 Tactic timer & context","E5 Real-Time Sales Tactics","A tactic every ~60s from recent exchanges so the rep gets nudges without spam.","60s interval; uses last ~8 exchanges + memory; skips when no history","Interval timer; recent-exchange selector; trigger","3","High","tactics must openai","Sprint 2","Done"
"Story","US-5.2 Tactic prompt","E5 Real-Time Sales Tactics","One concise actionable next move so the rep can act mid-call.","<=1 short suggestion; <=120 tokens; never invents pricing/policy","TACTIC_SYSTEM prompt; temperature tuning; guardrails","3","Medium","tactics should openai","Sprint 2","To Do"
"Story","US-5.3 Tactic card UI","E5 Real-Time Sales Tactics","Show tactics as dismissible cards so they are noticeable but not blocking.","copilot:tactic renders a card; animates in; auto-ages out","Tactic card; framer-motion; throttle/dedup","2","Medium","tactics should ui","Sprint 2","Done"
"Story","US-6.1 Always-on-top overlay","E6 Floating Widget UI/UX","Transparent frameless window above full-screen Teams so it is always visible.","alwaysOnTop screen-saver; visibleOnAllWorkspaces; transparent; stays above full-screen call","BrowserWindow config; transparency; z-order flags","5","High","ui must","Sprint 2","Done"
"Story","US-6.2 Live transcript feed","E6 Floating Widget UI/UX","Scrolling feed of attributed lines so the rep can follow the conversation.","Auto-scroll; Rep/Customer styled distinctly; interim vs final visually different","LiveFeed component; auto-scroll; speaker styling","3","High","ui must","Sprint 2","Done"
"Story","US-6.3 Copilot recommendations panel","E6 Floating Widget UI/UX","Tactics + Work IQ answers in one panel so guidance is centralized.","Shows tactic cards and grounded answers with citations; loading states visible","CopilotRecommendations; result + tactic merge; spinner","3","High","ui must","Sprint 2","Done"
"Story","US-6.4 Call intelligence panel","E6 Floating Widget UI/UX","CRM note visible in a panel so the rep can reference it.","Markdown note; updatedAt; collapsible","CallIntelligence panel; tab switching","3","Medium","ui should","Sprint 2","Done"
